epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3233,1.51829,1.51598,1.63701,0.68993,0.58576,0.6761,0.33046,1.71655,1.46074,2.01877,0.000412773,0.000412773,0.000412773
2,129.65,1.35285,0.93794,1.50487,0.74728,0.67351,0.7753,0.42543,1.55562,1.30692,1.96436,0.000821228,0.000821228,0.000821228
3,194.259,1.3723,0.91459,1.53577,0.80236,0.78676,0.83713,0.48897,1.39828,1.09979,1.76647,0.00122143,0.00122143,0.00122143
4,259.385,1.32843,0.83371,1.4899,0.92632,0.91805,0.95071,0.57721,1.31324,0.71988,1.66001,0.00121287,0.00121287,0.00121287
5,323.549,1.30317,0.79531,1.47622,0.85461,0.91361,0.94076,0.56776,1.3341,0.73223,1.69237,0.0012005,0.0012005,0.0012005
6,387.099,1.28026,0.74372,1.46086,0.92727,0.93692,0.96463,0.58839,1.32166,0.66626,1.66575,0.00118812,0.00118812,0.00118812
7,451.971,1.2658,0.73007,1.44338,0.93309,0.95888,0.97908,0.61242,1.26211,0.5763,1.60446,0.00117575,0.00117575,0.00117575
8,517.467,1.266,0.7166,1.44216,0.92775,0.94942,0.96952,0.64081,1.21026,0.54112,1.54285,0.00116337,0.00116337,0.00116337
9,581.85,1.23967,0.69211,1.42243,0.94561,0.93803,0.97469,0.63111,1.25867,0.53835,1.57533,0.001151,0.001151,0.001151
10,645.497,1.22521,0.67449,1.41033,0.9434,0.95005,0.97185,0.62373,1.22972,0.53262,1.57594,0.00113863,0.00113863,0.00113863
11,708.016,1.21938,0.64199,1.4051,0.92792,0.92302,0.95851,0.5621,1.33199,0.63702,1.67488,0.00112625,0.00112625,0.00112625
12,770.976,1.21343,0.6425,1.40295,0.94462,0.9382,0.97231,0.64143,1.23934,0.54157,1.56611,0.00111388,0.00111388,0.00111388
13,835.487,1.2072,0.63747,1.40002,0.92743,0.94117,0.96708,0.61876,1.23227,0.56883,1.55675,0.0011015,0.0011015,0.0011015
14,898.776,1.18558,0.62836,1.38679,0.9511,0.94833,0.97765,0.64521,1.17786,0.51362,1.52322,0.00108913,0.00108913,0.00108913
