epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7599,1.49096,1.28426,1.60332,0.88266,0.83752,0.92367,0.50041,1.52573,0.83094,1.85142,0.0672308,0.000331002,0.000331002
2,172.094,1.35511,0.83742,1.51145,0.868,0.90107,0.94979,0.56436,1.35244,0.76016,1.67702,0.0342306,0.000664173,0.000664173
3,262.359,1.32882,0.80851,1.49654,0.88288,0.89252,0.94359,0.56065,1.37588,0.74063,1.71588,0.00122979,0.000996695,0.000996695
4,348.002,1.30947,0.75181,1.48446,0.91266,0.92607,0.95766,0.59431,1.30019,0.62714,1.65734,0.000997803,0.000997803,0.000997803
5,434.579,1.28492,0.70645,1.45794,0.93127,0.92788,0.97048,0.6015,1.29012,0.61009,1.63753,0.000996097,0.000996097,0.000996097
6,520.921,1.2756,0.68739,1.45605,0.94907,0.95729,0.97727,0.61059,1.27247,0.56686,1.61522,0.000993906,0.000993906,0.000993906
7,607.975,1.2623,0.66985,1.4417,0.96112,0.95171,0.97832,0.61002,1.27328,0.55529,1.61897,0.000991232,0.000991232,0.000991232
8,693.63,1.2481,0.65114,1.43266,0.93216,0.93569,0.95762,0.53035,1.44922,0.77389,1.76822,0.000988079,0.000988079,0.000988079
9,779.042,1.23691,0.63814,1.42189,0.95997,0.95217,0.9795,0.62027,1.27917,0.51711,1.6071,0.000984449,0.000984449,0.000984449
10,865.386,1.21462,0.62807,1.40705,0.95273,0.94636,0.97828,0.63943,1.20415,0.52063,1.55481,0.000980345,0.000980345,0.000980345
11,951.553,1.21122,0.61613,1.40582,0.94598,0.95052,0.97843,0.62395,1.24544,0.51622,1.58076,0.000975773,0.000975773,0.000975773
12,1035.87,1.20875,0.60813,1.40293,0.93706,0.94828,0.9733,0.62665,1.23851,0.56125,1.57533,0.000970736,0.000970736,0.000970736
13,1120.82,1.19512,0.59366,1.39599,0.9619,0.95909,0.98287,0.63914,1.21765,0.50425,1.57462,0.000965239,0.000965239,0.000965239
14,1205.28,1.18956,0.58901,1.39808,0.96231,0.97385,0.98584,0.66506,1.17864,0.48397,1.52967,0.000959289,0.000959289,0.000959289
15,1291.46,1.16985,0.58026,1.38016,0.95805,0.97025,0.9842,0.66459,1.18574,0.47594,1.51692,0.000952889,0.000952889,0.000952889
16,1375.77,1.1768,0.57424,1.37567,0.96408,0.96881,0.98296,0.65033,1.22063,0.48827,1.56894,0.000946048,0.000946048,0.000946048
17,1460.53,1.16986,0.56186,1.37576,0.96159,0.96467,0.98188,0.63989,1.21512,0.48917,1.57919,0.000938772,0.000938772,0.000938772
18,1545.86,1.16958,0.56098,1.38007,0.96642,0.96214,0.98564,0.66713,1.17447,0.45352,1.51285,0.000931067,0.000931067,0.000931067
19,1631.26,1.1614,0.56503,1.3715,0.96575,0.97371,0.98585,0.65134,1.20789,0.46291,1.55051,0.000922942,0.000922942,0.000922942
20,1715.95,1.16242,0.5486,1.37034,0.96892,0.97129,0.98488,0.65368,1.19469,0.44638,1.52539,0.000914405,0.000914405,0.000914405
21,1800.53,1.14229,0.53992,1.35617,0.96274,0.97405,0.98633,0.65777,1.17617,0.45168,1.54033,0.000905463,0.000905463,0.000905463
22,1885.36,1.14393,0.54594,1.35603,0.96049,0.96931,0.98381,0.66217,1.17715,0.46489,1.51338,0.000896127,0.000896127,0.000896127
23,1969.88,1.12836,0.53077,1.3486,0.96694,0.96789,0.98395,0.65865,1.18521,0.46144,1.52303,0.000886404,0.000886404,0.000886404
24,2054.24,1.14299,0.53781,1.36361,0.96007,0.98166,0.98333,0.67124,1.17453,0.43875,1.50428,0.000876305,0.000876305,0.000876305
25,2141.05,1.13683,0.52796,1.35118,0.97305,0.97269,0.98753,0.68065,1.16229,0.42701,1.50152,0.000865839,0.000865839,0.000865839
26,2231.12,1.12356,0.52667,1.34267,0.96988,0.97308,0.9858,0.66568,1.17138,0.4373,1.52275,0.000855018,0.000855018,0.000855018
