epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,83.7347,0.86686,0.09677,1,3.99414,0.00033125,0.00033125,0.0672063
2,158.48,0.51286,0.82111,1,0.54415,0.000664132,0.000664132,0.0342058
3,240.196,0.43985,0.76979,1,0.83634,0.000995211,0.000995211,0.00120354
4,316.816,0.40092,0.82258,1,0.55143,0.000993906,0.000993906,0.000993906
5,397.491,0.34673,0.79912,1,0.58105,0.000989183,0.000989183,0.000989183
6,474.216,0.311,0.28152,1,3.98958,0.000983133,0.000983133,0.000983133
7,553.994,0.28582,0.81085,1,0.68469,0.000975773,0.000975773,0.000975773
8,630.553,0.27338,0.79765,1,0.62136,0.000967122,0.000967122,0.000967122
9,709.266,0.24899,0.74047,1,0.81494,0.000957205,0.000957205,0.000957205
10,787.749,0.2271,0.79326,1,0.7535,0.000946048,0.000946048,0.000946048
11,867.509,0.2036,0.78739,1,0.72917,0.000933683,0.000933683,0.000933683
12,946.437,0.1881,0.80205,1,0.68083,0.000920142,0.000920142,0.000920142
13,1025.27,0.16952,0.81232,1,0.77913,0.000905463,0.000905463,0.000905463
14,1104.44,0.16528,0.80205,1,0.79753,0.000889687,0.000889687,0.000889687
15,1183.25,0.16553,0.16862,1,7.79167,0.000872857,0.000872857,0.000872857
16,1261.73,0.16521,0.80205,1,0.72347,0.000855018,0.000855018,0.000855018
