epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,83.418,1.13478,0.69802,1,0.75725,0.00036929,0.00036929,0.00036929
2,163.673,0.68717,0.7599,1,0.75384,0.000724979,0.000724979,0.000724979
3,245.925,0.61733,0.7401,1,0.69831,0.001066,0.001066,0.001066
4,324.793,0.56893,0.75248,1,0.68073,0.00104501,0.00104501,0.00104501
5,405.754,0.46678,0.77228,1,0.66902,0.00102301,0.00102301,0.00102301
6,487.231,0.43551,0.80693,1,0.52663,0.00100101,0.00100101,0.00100101
7,569.996,0.3837,0.7797,1,0.65702,0.000979013,0.000979013,0.000979013
8,650.681,0.35847,0.82673,1,0.47171,0.000957015,0.000957015,0.000957015
9,731.944,0.34014,0.83416,1,0.48183,0.000935018,0.000935018,0.000935018
10,813.706,0.31215,0.82673,1,0.63787,0.00091302,0.00091302,0.00091302
11,894.143,0.29529,0.83911,1,0.59178,0.000891022,0.000891022,0.000891022
12,975.286,0.29327,0.78713,1,0.69158,0.000869024,0.000869024,0.000869024
13,1056.71,0.27309,0.7797,1,0.87071,0.000847026,0.000847026,0.000847026
14,1135.9,0.24354,0.81931,1,0.50523,0.000825029,0.000825029,0.000825029
15,1216.33,0.23761,0.80693,1,0.59129,0.000803031,0.000803031,0.000803031
16,1295.78,0.22771,0.84158,1,0.59724,0.000781033,0.000781033,0.000781033
17,1377.44,0.21986,0.81683,1,0.70229,0.000759035,0.000759035,0.000759035
18,1457.29,0.21473,0.83911,1,0.65962,0.000737037,0.000737037,0.000737037
19,1535.98,0.1971,0.83168,1,0.62252,0.00071504,0.00071504,0.00071504
20,1615.47,0.19082,0.82426,1,0.59002,0.000693042,0.000693042,0.000693042
21,1693.87,0.17613,0.82673,1,0.65311,0.000671044,0.000671044,0.000671044
22,1773.4,0.18315,0.82178,1,0.57727,0.000649046,0.000649046,0.000649046
23,1850.85,0.17415,0.81188,1,0.74784,0.000627048,0.000627048,0.000627048
24,1929.93,0.16022,0.78713,1,0.7439,0.000605051,0.000605051,0.000605051
25,2007.61,0.15132,0.7995,1,0.88508,0.000583053,0.000583053,0.000583053
26,2086.22,0.15329,0.81436,1,0.66628,0.000561055,0.000561055,0.000561055
