epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,63.4038,0.99118,0.75285,1,0.68657,0.0672276,0.000331034,0.000331034
2,124.428,0.74054,0.80343,1,0.56323,0.034221,0.000657791,0.000657791
3,187.396,0.64122,0.74144,1,0.78979,0.00120783,0.000977947,0.000977947
4,250.745,0.58239,0.80914,1,0.58899,0.0009703,0.0009703,0.0009703
5,315.026,0.51952,0.88336,1,0.37197,0.0009604,0.0009604,0.0009604
6,377.089,0.46486,0.83768,1,0.48372,0.0009505,0.0009505,0.0009505
7,438.44,0.44238,0.83605,1,0.53645,0.0009406,0.0009406,0.0009406
8,501.439,0.39526,0.83768,1,0.5158,0.0009307,0.0009307,0.0009307
9,562.882,0.38125,0.85563,1,0.49875,0.0009208,0.0009208,0.0009208
10,624.382,0.34517,0.79772,1,0.61113,0.0009109,0.0009109,0.0009109
11,685.795,0.30336,0.854,1,0.50701,0.000901,0.000901,0.000901
12,748.554,0.29244,0.77732,1,0.69985,0.0008911,0.0008911,0.0008911
13,809.546,0.27647,0.86134,1,0.56494,0.0008812,0.0008812,0.0008812
14,871.048,0.25972,0.77488,1,0.71846,0.0008713,0.0008713,0.0008713
15,933.47,0.22717,0.80424,1,0.80908,0.0008614,0.0008614,0.0008614
16,994.58,0.22024,0.84013,1,0.63135,0.0008515,0.0008515,0.0008515
17,1056.09,0.2058,0.84584,1,0.66758,0.0008416,0.0008416,0.0008416
18,1118.71,0.20111,0.80098,1,0.81309,0.0008317,0.0008317,0.0008317
19,1180.89,0.1925,0.84095,1,0.65015,0.0008218,0.0008218,0.0008218
20,1243.36,0.18917,0.84013,1,0.66731,0.0008119,0.0008119,0.0008119
